Data ,Label
यो शुरुआती वा अनुभवी व्यक्तिको लागि उत्कृष्ट छ । मैले यसलाई एक उपहारको रूपमा लिय ,1
"हल्का वजन, र मूल्य बिन्दुको लागि, निश्चित रूपमा खरीदको लायक",1
म आफैं छनौटमा खुशी छु,1
पुस्तक पढ्नको लागी यो ट्याब्लेट ठीक छ ,1
म पुस्तकहरू आदेश र पाठकसँग पढ्न मन पराउँछु,1
"उत्कृष्ट उत्पादन, पर्‍योग गर्न सजिलो छ, ठूला स्क्रिन चलचित्रहरू हेर्न र  पढ्न सजिलो छ",1
मेरो बुबाले आफ्नो पहिलो ट्याब्लेट किन्न  चाहानु भयो र यो धेरै राम्रो मूल्य हो यसमा  चलचित्रहरू हेर्न र खेल खेल्न सक्छन्य सको प्रयोग गर्न सजिलो छ,1
स्क्रिनको आकार मनपर्छ,1
"ज्येष्ठ नागरिकका ज्ञान, सीप तथा अनुभव प्राप्त गरेर नयाँ पुस्तामा हस्तान्तरण गर्दै जानु जरुरी छ",1
Mero bichar ma yo aakdam ramro xa,1
हजुरहरुले डेलिवर गर्नु भएको समान निकै नै चित्त भुज्ने छ,1
यहाँ बाट किनेको सामान ऎक्दमै राम्रो बलियो र टिकाउ छन्,1
नेपालको धरती उपज हो,1
म खुशी छु,1
मलाई खेल खेल्न मन पर्छ,1
म तिमीलाई माया गर्छु,1
इलेक्ट्रोनिक मिडिया एक प्रासंगिक र एक खुला स्रोत हो,1
अती सुन्दर प्रयास,1
रक्सी  पिएर बाटोमा सुत्दा नि महिलो नलाग्ने भयो अब रक्सी  पिउन सुरु गरुन्छ,1
सडक मा भन्दा पहिले नेताको दिमाख मा ब्रुमर लगाएर सफा गरिदिए देश चाडै बिकास हुन्थ्यो कि,1
पहिला खाल्डाखुल्डी टाल्न भन रुटिने तेस्ता बुमरबाट होइन हेलिपम्प बाट सफा गरौला,1
अनि वाहा भनौला,1
पहिला सबै तिर राम्रो सँग पिच गरेर त्यसपछी सफा गर्न थाले हुन्छ,1
पहिला सिहदरबार सफा गर्नु पर्छ  अनि उपत्यका मात्र हैन देश नै सफा हुन्छ,1
धन्यवाद तपाईहरु सबैलाई सामन उपलव्ध भएको छ,1
मनपरि नबोलौँ भन्छु साला यस्तै पोष्ट देखेपछि दिमाग तातिन्छ,1
त्यसैले अामा-बुबालाई वृद्ध अाश्रम हाेईन घरमै अाफ्नाे साथमा राख्ने गर,1
जन्म दीनको लाखौ करोडौ सुभकामना,1
प्यारे सधै हासिखुसी रहनु,1
अनाधिक्रित पार्किग नियंत्रण सवारी कसैको जन-जीवन उजाडी,1
फुटपाथ मा कपडा बेच्ने लाई जरिवाना तोकिन्छ यहाँ कलिला नानिका कपडा च्यात्ने हरु खुलेयाम घुमी रहेका छन,1
त्यो कुनै चटपटे पसल मात्र हैन त्यो कसैको परिवारको खुसी किन्ने सपना पनि हो ,1
chaitra 16 saturday,1
बोलेर भन्दा गरेर पो देखाउनु पर्छ र होईन भने येस्तो गर्नुपर्छ उस्तो गर्नुपर्छ यो गरे राम्रो त्यो गरे राम्रो भन्न त जो पनि सक्छ तर ब्यवहार मा लागू हुदैन,1
म पनि त्यही बिचमा छु,1
म पनि यहि छु भेट्ने महानुभाबलाइ उचित पुरस्कारको ब्यबस्था छ,1
हिजो taxi driver ले गल्ती गर्यो बिरामी लाई सडकमा अलपत्र छोडेर!,1
यहाँ दोष नेता को भन्दा हामी जनता को बढी छ ,1
हाम्रै सुरक्षा र भलोको निम्ति सपथ खाएकाहरु अनि हामी जनताकै रगत र पसिना बाट उठेको करबाट पालिने हरुले किन यति विधि हेप्नु पर्या नीति नियम अनि कानुन निमुखाहरुको लागि मात्र हो,1
शक्तिको आडमा अपराध गर्ने परम्परा को अन्त कहिले निर्दोष आफ्नो लेन मा हिडिरहेका मानिस लाई ठक्कर दिने यी अपराधी प्रहरी हुन  यिनलाई सजाय के  यससम्बन्ध मा सरकारी प्रतिक्रिया के र सजाय कार्यनयन हुन्छ कि हुन्न खबरदारी गरियोस,1
मुल्य अन्त बजारको भन्दा फरक छैन,1
सामानको चित्त बुझ्दो मूल्य छ,1
सम्बन्धित लाई कारबाही भयको भिडियो पनि छिट्टै हेर्न पाइयोस,1
गाडीको पछाडी बसेकाहरुको झन ठूलो गल्ती छ देखेर नि न देख्या जस्तो गर्याछन,1
dammi xaa bro,1
राम्रो महसुस भयो कुनै पनि क्षेत्रहरूमा कुनै पिचिंग छैन राम्रो पैसामा पाए हजुर पनि आफुलाइ एक जोडा किन्नुहोस्,1
उत्कृष्ट शैली धेरै सहज उत्कृष्ट मूल्य म आफ्नो नौसेना ग्रे सूट संग यो लुगा लगाउदा धेरै प्रशंसा प्राप्त गर्दछु,1
chaitra 19 tuesday,1
खुसी लाग्यो छोरा,1
हार्दिक आभार एक युवाको कदमलाइ हज्जारौं युवाहरुले साथ दिदा,1
धन्यवाद बाजुरेलिमन र धन्यवाद साथ दिने सबैलाइ साथै सहयोग सुझावको लागि,1
Wow yo honi line thank you mahanayak rajesh hamal jiu congratulations kp brother,1
अति उत्तम कार्य  के पि भाइ,1
देश आफै बन्छ सुरुवात आफुबाट सुरु गरौ,1
बिदेश मा फोहोर पनि भेटीनु पर्यो नि खैरे हरु ले Trash challenge हान्न  भाग्यमानी हुन आफ्नो देश मा गर्न न पाएको काम नेपाल मा आएर गर्न पाएको छन,1
Photo post गरेर भाइरल बनाइदिने नेपाली मिडिया मन पर्यो होला बिदेशी साईली लाई,1
बृद्दा भत्ता दिएर आश्रम पठाईदिने ब्यबस्था गरौ ,1
ठिक गर्यो,1
बिहे गरेपछि बुढीलाई यति माया गर्छु कि त्यो देखेर ससुराले पनि ज्वाई कान्छि छोरी नि हजुर नै लौजानुस भनोस् ,1
रुटिने होस गर तेरो पोस्टमा पनि कमेन्ट तिनिहरु कै troll गर्दै आउने गर्छ पर्लास फन्दामा त पनि अनि आफै बन्द होलास,1
नराम्रो  हर्कत गर्ने सबैलाइ समात्नै पर्छ,1
देश बिगार्नेलाई खुल्ला छोड्ने तर फोटा बिगार्नेलाई सजाए रे,1
खुशीको खबर,1
टाउकोलाई समाते पो केही हुन्थ्यो  हाँगाबिगाहरु समातेर आफ्नो काम देखाउने काम बन्द गर्दा नै राम्रो,1
सलाम साह साब,1
एस्तो राम्रो काम हुदै जाओस,1
बल्ल राजनीति पार्टी हरुको आँखा खुल्दैछ,1
म भोलि कलेजमा खाजा खाने पैसा दिन्छु,1
आफुले सकेको सहयोग गरौ,1
राष्ट्रपति र प्रधानमन्त्रीको फोटो बिगारेर पोष्ट गर्ने पक्राउ,1
वेईज्जत नगरेको भए हुने हो,1
फोटो झाक़ासको छ,1
म तिमीलाई मन पराउछु,2
रोजगारीको लागि नेपाल राम्रो छैन,2
सरकारले कृषिलाई ध्यान दिनुपर्छ,2
म अस्पताल जान्छु,2
हामीले बढी रूख रोप्नुपर्छ,2
मलाई औषधि दिनुपर्छ,2
सरकारले कृषिलाई ध्यान दिनुपर्छ,2
म अस्पताल जान्छु,2
People don't have trust on online payment.,2
कस्तो दु:ख लाग्दो प्रकृया,2
तिमी मसँग जिस्किदै छौ ,2
seven semester ma pugiyo ,2
Kathmandu ko sabai dhulo le matra 2 ota sahara desert banchhaKathmandu ko sabai dhulo le matra dui ota sahara desert banchha,2
बिरामी भइयो अब भोलि जानू पर्ला ,2
"आगो त नामले बदनाम छ,मान्छेहरु मेरो मुस्कानले जल्दैछन रे",2
कच्चि बाटो पानी परे हिलो घाम लागेसी धूलो,2
भ्रष्टाचारि नेता साफ गर्ने कुनै साधन बनाए ल्याए,2
नराम्रो काम गर्न अगाडी नसरौ,1
balla yeuta gatilo kam garexaa,1
badhai x,1
Wah Daju Ramro kaam,1
इनि दाजु चाइ साचै निश्च्ल मनका रहिछ्न,1
dheari badhai tatha suvakamna xa hai,1
डिग्री पढेकाहरु कोरिया जान फारम भर्दैछन,2
शहर को बेथा गाउ मा के थाहा गाउ को बेथा हामी लाई के थाहा,2
chaitra 16 saturday,2
कडा जवाफ पो आयो त साङ्लो बोरो,2
मलाई जस्तो हालमा छोड़ेकि थीइन त्याहि हाल उनको भयो भने एस मलाई थाहा छ त्यस्तो बेला कस्को साथ चाहिंछ भने,2
यो बेमौसमी झरी र मेरो Love एउटै एउटै लाग्छ पर्ला पर्ला जस्तो गर्नी तर नपर्नि,2
त्यो बेला दाहिने हात मात्र सिपालु थियो ऐले दाहिने देब्रे दुबै सिपालु छन,2
अनि जाडोमा हिटर किन्नेकी बिहे गर्ने भनेर बाउले सोध्यो भने के भन्छौनी,2
गौतम बुद्ध अन्तरास्ट्रिय रंगशाला निर्माण सहयोग का लागि यस हाम्रो पोखरा फेसबुक ग्रुपले आर्थिक संकलन कार्यक्रमको आयोजना गरेको छ,2
वश पहिलो म्यासेज तिमी गरिदेउ,2
त्यही भएर Slc फेल भएर मेरो त पहिले नै बिहे भईसक्यो,2
मायाप्रेम जति बाँडाे तेति बढ्छ रे तर बढ्नि चै जनसंख्या मात्रै हाे,2
चैत महिना भएर बाबा ममि चुपलाग्नु भाछ अर्को बैशाखमा पालो जरुर पाऊँछौ,2
हाम्लाइ आउनुनी त्यस्तो अफर यति बेला सम्म cricket tem बनाइ सक्थे म,2
नेपालको पढाई सकेर विदेशमा पढ्दानी कुनै सुरसार छैन बा ब्रोको,2
 मलाई बाल छैन,2
नापिस तैले,2
भुटुवा बनाउन मलाइ खसिको Blood चाहिएको छ,2
अलिकति रगत त मलाई पनि चाईयाथ्यो उन्लाई लब लेतर लेख्न छ,2
भैरहवा को मान्छे कहाँ जाने नि रुटिने दाइ भन्देउ न यार ,2
मोटिभेसनल वाला ले भन्ने भनेको हामिले गर्न नसक्ने क्यै छैन  लगनशील हुनुस मन दिनुस मात्रै भन्ने हुन्,2
Kun swarga ki apsara hau timi,1
Ho ta hai,1
सुसासनयुक्त अनि मर्यादित बनाउनु,1
गरिमामय र निस्पक्ष,1
स्पष्ट निती निर्माण गर्नु पर्दछ,1
नेपाल मा कुनै पनि सामन राम्रो छैन,0
यो घडी नकिननुहोस् यो घडी पैसाको बर्बाद हो किनेकाे केहि दिनमै घडीको रंग हराउन सुरु हुन्छ ,0
सामान किन्ने काम गल्तीले पनि नगर्नुहोला,0
यहाँको उत्पादहरूसँग सन्तुष्टि हुदैन यो एकदम घटिया र झुटो रहेछ भन्नसक्छु ,0
वृद्ध प्रयोगकर्ताहरूको लागि सजिलो छैन,0
"शिक्षा, स्वास्थ्य र कृषि प्राथमिकतामै परेनन्",0
"सबैभन्दा नराम्रो किनमेल अनुभव, मैले गरेको छु",0
"पुरै ठग्ने काम गर्छ, अडर कुनै चिजको र डेलिभरी अरु नै गर्दो रहेछ मेरो रू १८००० ठगो",0
दुब्लीकेट सामान हो यो,0
यो उत्पादन बाट आज  सम्म निराश छैन,0
सुमार्गीको जग्गा कब्जाको दाबी,0
रक्षा परिषद्सम्बन्धी विधेयक हुबहु पास हुन नदिने,0
कांग्रेस नेता सिटौला ह्याम्स अस्पतालको आईसीयूमा,0
नेपाली विद्यार्थीको विदेश पीडा,0
Fake news just clickbait.,0
छ्या कस्तो नराम्रो,0
म तपाईँलाई घृणा गर्छु।,0
delli le aja ko game ma ne sandip lai kelayenw,0
हस्तान्तरण गरेको छ,2
VIP सेकृरिटि एम्बुलेन्स र दम्कल लाई बाटो नछोड्ने लाई यस्तै गर्नुपर्छ ,2
धेरै अत्याचार हुदा राजा त जाने देशमा यी साना तिना राजा हरु लाई  बादर झै लखेट्ने दिन हरु नजिकिदैछन जस्तो लाग्छ मलाई,2
मलाई धर्तीमा आउन मन थिएन,2
 VIP सवारी को नाममा जनतालाई किरा फटयांग्रो झै किच्दै हिड्ने येहि हो लोकतन्त्र Hello sarkar जनता लाई जवाफ चाइयो,2
ए सरकार यो गणतन्त्र भनेको कार्यकर्ता कर्मचारी नेता अनि भिआइपी हरुको लागि मात्र हो कि,2
अडर गरेको सामान एयूटा छ आफुले पाउने सामान अर्कै कव्लिटीको छ,2
रगत तातेर आउछ के अरम नेपाल का डाका हरू लाई देखेर,2
अब भने आम नागरिक ले खुलेर बिप्लब को समर्थन गरिन्छ,2
जनताको सुरक्षा गर्नेले त यसरी दिन-दहाडै ठक्कर दिएर हिड्छ भने अब को संग सुरक्षा माग्ने,2
तूरन्त कारबाहि होस् होइन भने सडक अबिल्म्ब ततााउनु पर्छ,2
अरु देशमा पाइदैन नेपाल मै हो छुट्,2
मादर्चोद हरुलाई समातेर कोचार्नु पर्ने यती लामो खोँया,2
यसमा आपत्तिजनक कुरा केही छैन त,2
chaitra 19 tuesday,2
निकै गर्व लागेको छ,2
देको भन्दा नी लेको जस्तो देखि छ त,2
Rajesh dai le खाजा खर्छ देको हो,2
बुढाले जमानामा बिहे गरेर एउटा घोर्ले छोरो पाको भए अहिले अनमोल केसीलाई कसैले चिन्थेन,2
राजेश दाई मार्फत Provide भाको रैछ सहयोगी अरु नै हुनुहुन्छ,2
सके हजार नसके प्रचार,2
डोनेट ले राजेस हमाल देको होला सायद,2
अब १ करोड हुन्छ त्यो पैसा राजेश दाई भन्या राजेश दाइ नै हो,2
मलाइ लाग्यो लोकतन्त्र मा बहस को सुरुवात यहि बाट हुनुपर्छ,2
राजेश दाईले एक दिनको चिया खर्च हस्तान्तरण गर्नुभएछ,2
नेपाली आफ़ैले फोहोर पार्ने देशमा बिदेशी आएर सफ़ा गर्दै,2
ठिकै त होनि यार नेपालि पनि त अस्ट्रेलिया गयर तिनी हरु को झुठो भाडा टल्काईराख्या छन नि,2
पालो को पैचो तिर्नु पर्छ ,2
अनी नेपालीहरु बिदेशमा गएर फोहोर गरिराछन त हिसाब किताब बराबर,2
"कस्तो कुरा गरेको रुटिने दाई, अनी नेपालीले चै विदेश मा गएर सफा गरेको छैन र",2
कृपया बाटोमा फोहोर नफाल्दिनुस,2
एक एक ब्यक्तिले गर्दा हो कम्सेकम आफुले प्रयोग गरे पछि कागज गोजिमै राखौ,2
नेपालिहरु बिदेश गएर जुठा भाँडा माझेको पिडा कस्ले बुझिदिने,2
बा छोरो बिग्रिन्छ कि भनेर चिन्ता नलिग है तिम्रो छोरो बिग्रिदैन किनकि उस्लाई थाह छ कि तिम्ले त्यो खाडिको पचास डिग्री  मा पसिना बगाएका छौ भनेर,2
छोरो लाई यो पनि थाह छ कि उस्ले तिम्रै पसिनामा पौडि खेलेर आफ्नो भोलिको सुनदर भबिस्यको परिकल्पना गरिरहेको छ ,2
बा छोरोले साथिहरु को लत मा लागेर नसा गर्छ कि भनेर पनि चिन्ता नलिग है छोरोलाई यो पनि थाह छ कि तिम्ले आफ्नो मुख सुक्दा पनि जाबो एउटा दस  को जुस खादैनौ भन्ने,2
आज बिहानै उठेर किताब खोले अैलेसम्म पनि किताब खुल्लै छ तर पढ्ने फुर्सद पाएकैछैन,2
हामी पनि उनिहरुको देशमा लाखौ तिरेर फोहोर सफा गर्न गएको छौ खोइ ती तस्बिर सार्बजनिक गरेको,2
राष्ट्रपति र प्रधानमन्त्रीको फोटो बिगारेर पोष्ट गर्ने पक्राउ,2
 सबैलाई थाहा छ कि तपाईले आफ्नो चार्जर फिर्ता लिनु भएको छ,0
Yo saman kineko dwee din ma bigreyo,0
किनिएको समानहरुमा निकै नै खराबी देखियो र निकै चाडै बिग्रियो,0
देलिवर गर्न अलि ढिलो भयो।,0
सब्जीको मूल्य उच्च हो,0
म दुखि छु,0
खेल खेल्दै मेरो आँखालाई चोट पुर्याउँछ,0
म तिमीलाई घृणा गर्छु।,0
ई मीडियाले समाजमा गलत असर गर्दैछ,0
Dhulo uthauna stop  gareu vane ma Lastai risauxu hai gaizz,0
यो समान किनेनौ भने म लस्तै रिसौछुनि,0
यो पेज खोल्ने मान्छे देखेर लास्टै रिसाउछु  म,0
काठमान्डौ पुरै उठुन्जेल नि सकिन्न धुलो पिच कहाँ छ र धुलो सकिन जति उठायो उति आउछ,0
नेपाली धुलो चाहे broomer ले सफा गरोस्कि पानी हालेर cleaner लार गरोस् सफा हुन्न ,0
येहा बाटो नै थर्ड क्लासको हुछ,0
पिहिले राम्रो बाटो निर्माण गर्नु अनि प्राविधि उपयोग गर्दा राम्रो,0
broomer चलाएर हुन्छ खुरु खुरु बाटो गतिलो बनाउनु नि ,0
Rode सफा गर्ने ब्रोमरको मात्र काम छैन,0
दराजमा डिग्री पिएच डी काे सर्टिफिकेट छ तर व्यबहारमा राक्षस छ,0
म ट्युसन क्लास पढेर म्याजिकमा घर फर्कदै थिए,0
मलाई झिझाे लाग्यो उहाँ बाेलेकाे देख्दा,0
"छाेराहरु चिल्ला गाडी चढ्न थाले बजारमा ठुला ठुला महल थप्दै गए, तर संसार देखाईदिने र सम्पत्ति जाेडिदिने अामा अाज वृद्ध अाश्रममा मृयुलाई पर्खिरहेकी छन्",0
लौन यो हाम्रो बेसिसहर देखो -चामे मनाङ सम्म एउटा पानी हाल्ने ट्याङकर मिलाउन पर्यो है,0
yo broomers बौद्ध जोरपाटी आएन भने म लास्ट रिसाउछु है गाइज,0
जस्तो पोस्टमा पनि मजाक यार सब का सब पागल को दर्जा दिन लायक छन,0
राडाबानहरु देश लुटेर रित्तिन लागिसक्यो तिनिहरुलाई केही गर्न सक्दैन  पैसा कमाएर आफ्नो परिवार पाल्छु भन्नेलाई गरिखान दिदैन्,0
थुक्क लाजनभएको कुलङ्घार सरकार,0
रखार तेसैले अब यो पानीपुरिको भाडो जस्ले उठायेको थियो त्यो अपराधिलाई तेहि पानीपुरी को झोल ले आची गर्न लगाएर चाक धुन लगाउनु पर्छ,0
धिकार छ नेपाल कसरी बनोस देश,0
chaitra 16 saturday,0
SLC सकिने बित्तिकै उसले भागौ भन्दा भागेको भय अहिले अस्ट्रेलिया पुगिसकिन्थ्यो होला भाग्न अल्छी गरियो अहिले जिन्दगिले खेद्दै छ,0
यस्मा हाहा React आएन भने म लास्तै रिसाउछु है,0
नजिककाे तीर्थ लाई हेला गर्ने बानी नेपालीको कहिले गएन,0
एउटा धोती ले दस जना नेपाली ठ्ग्छ भन्थे हजुरबा ले साच्चै रैछ क्या,0
के तपाईं घर बनाउदै हुनुहुन्छ,0
जिउदो नेपाली लाई ठ्ग्छ भन्थे हो रैछ,0
यो लोकेन्द्र बाहादुर चन्दलाइ किन सुरक्षा चाहियो र देश भरि गरेर १०० जना कार्यकर्ता नहुने पाटिको नेतालाई कसले के गर्छ र,0
यहाँ जिन्दगी नै धरापमा रैछ हाम्रो नेपालमा,0
असली मजा त तेति बेर लाग्छ जब बाटोमा हिन्दै गर्दा ex को बुनु ले भनोस दिदी त्यो हेर्नुस कति राम्रो दाइ,0
लोकेन्द्र बहादुरलाई बेईजत गराउने कामगर्न खोजेजस्तो छन नि उनले ,0
१४ १५ बर्ष पहिलेका प्रम लाई अहिले सम्म सुरक्षा अनि तिनको सुरक्षाकर्मीको घमन्ड  देशको यो हाल देख्दा दया लाग्नि भैसक्यो ,0
हाम्रो घरको गाई,2
अहिले हान्दिन्छु ग्वाम्मै अनि चल्दिन्छु मुम्बई,2
अब चाइ पक्का हो है,2
डराउन दिनु नै थियो भने थुप्रै माध्यम थिए के मेकअप नगरी VIDEO CALL गर्नु जरुरी थियो,2
यस्ता बासी समचार नसुना है,2
भ्याउने जति नभ्याउने जति मिल्ने जति मिलायर मिल्न सक्ने जति सबै हेर्न आइदिनु होला आउन नसक्ने जति सबै आ आफ्नो ठाउँ बाट समर्थन गर्दिनुहोला देस को गौरब बढाउने काममा पछि नपर्नुस सबैलाई चुले निमन्त्रणा,2
अत्ति भएन बोरो हरु,2
घण्टी त पछि थप्या जस्तो छ त,2
पाथिभरा माता मा कोटि कोटि नमन,2
जय  माता,2
First love ले छोडेको पीडा ,2
टिभि हेरेछ्म के हाम्ले नि,2
हाम्रो घरमा पनि टिभि छ,2
भाइलाई अब बोरा बिस्तारा बोकाएर नेपाल पठाइदिन्छ,2
यसलाई त हाडे बदाम भन्छन् हैन र,2
chaitra 19 tuesday,0
बिल्गेट्स लाई राजेश दाई ले दान मा पैसा दिएर त्यो संसार को धनी मान्छे भएको भन्ने सुनेको थिए,0
बिचरा केपी लाई दाईले एकदिन गुट्खा खाने पैसा दिनु भएछ,0
बर्सौ देखि भारत बाट आएर टिन फलाम सफा गर्नी को मतलव छैन गोराले गरेसी हाल्छ्स रुटिने,0
"अरे रुटिने खोसे जस्तो देखियो है, अर्को फोटो राख यार",0
बिदेशमा नेपाल को सरसफाइ को लागि भन्दै डोनेसन उठाएर यहा फोटो खिचेर घुम्छ्न जोले केहि बिदेशिहरु रुटिनेलाई यतिकै पोस्ट गर्ने हतार हुन्छ,0
विदेशी पनि कहाँको लाटो छ  फोटो खिच्यो रिपोर्ट पठायो अनि टन्न डलर पचायो ,0
नेपाली हरु ले पनि त बिदेश मा गएर toilet सफा गर्छन नि रुटुने,0
एउटा बच्चो बनाउन नसक्नेले देश बनाउछु भनि लागेको छ साला,0
