Data ,Label
म पनि यहि छु भेट्ने महानुभाबलाइ उचित पुरस्कारको ब्यबस्था छ,1
हिजो taxi driver ले गल्ती गर्यो बिरामी लाई सडकमा अलपत्र छोडेर!,1
यहाँ दोष नेता को भन्दा हामी जनता को बढी छ ,1
हाम्रै सुरक्षा र भलोको निम्ति सपथ खाएकाहरु अनि हामी जनताकै रगत र पसिना बाट उठेको करबाट पालिने हरुले किन यति विधि हेप्नु पर्या नीति नियम अनि कानुन निमुखाहरुको लागि मात्र हो,1
शक्तिको आडमा अपराध गर्ने परम्परा को अन्त कहिले निर्दोष आफ्नो लेन मा हिडिरहेका मानिस लाई ठक्कर दिने यी अपराधी प्रहरी हुन  यिनलाई सजाय के  यससम्बन्ध मा सरकारी प्रतिक्रिया के र सजाय कार्यनयन हुन्छ कि हुन्न खबरदारी गरियोस,1
मुल्य अन्त बजारको भन्दा फरक छैन,1
सामानको चित्त बुझ्दो मूल्य छ,1
सम्बन्धित लाई कारबाही भयको भिडियो पनि छिट्टै हेर्न पाइयोस,1
गाडीको पछाडी बसेकाहरुको झन ठूलो गल्ती छ देखेर नि न देख्या जस्तो गर्याछन,1
dammi xaa bro,1
राम्रो महसुस भयो कुनै पनि क्षेत्रहरूमा कुनै पिचिंग छैन राम्रो पैसामा पाए हजुर पनि आफुलाइ एक जोडा किन्नुहोस्,1
उत्कृष्ट शैली धेरै सहज उत्कृष्ट मूल्य म आफ्नो नौसेना ग्रे सूट संग यो लुगा लगाउदा धेरै प्रशंसा प्राप्त गर्दछु,1
chaitra 19 tuesday,1
खुसी लाग्यो छोरा,1
हार्दिक आभार एक युवाको कदमलाइ हज्जारौं युवाहरुले साथ दिदा,1
धन्यवाद बाजुरेलिमन र धन्यवाद साथ दिने सबैलाइ साथै सहयोग सुझावको लागि,1
Wow yo honi line thank you mahanayak rajesh hamal jiu congratulations kp brother,1
अति उत्तम कार्य  के पि भाइ,1
देश आफै बन्छ सुरुवात आफुबाट सुरु गरौ,1
बिदेश मा फोहोर पनि भेटीनु पर्यो नि खैरे हरु ले Trash challenge हान्न  भाग्यमानी हुन आफ्नो देश मा गर्न न पाएको काम नेपाल मा आएर गर्न पाएको छन,1
Photo post गरेर भाइरल बनाइदिने नेपाली मिडिया मन पर्यो होला बिदेशी साईली लाई,1
बृद्दा भत्ता दिएर आश्रम पठाईदिने ब्यबस्था गरौ ,1
ठिक गर्यो,1
बिहे गरेपछि बुढीलाई यति माया गर्छु कि त्यो देखेर ससुराले पनि ज्वाई कान्छि छोरी नि हजुर नै लौजानुस भनोस् ,1
रुटिने होस गर तेरो पोस्टमा पनि कमेन्ट तिनिहरु कै troll गर्दै आउने गर्छ पर्लास फन्दामा त पनि अनि आफै बन्द होलास,1
नराम्रो  हर्कत गर्ने सबैलाइ समात्नै पर्छ,1
देश बिगार्नेलाई खुल्ला छोड्ने तर फोटा बिगार्नेलाई सजाए रे,1
खुशीको खबर,1
टाउकोलाई समाते पो केही हुन्थ्यो  हाँगाबिगाहरु समातेर आफ्नो काम देखाउने काम बन्द गर्दा नै राम्रो,1
सलाम साह साब,1
एस्तो राम्रो काम हुदै जाओस,1
बल्ल राजनीति पार्टी हरुको आँखा खुल्दैछ,1
म भोलि कलेजमा खाजा खाने पैसा दिन्छु,1
आफुले सकेको सहयोग गरौ,1
राष्ट्रपति र प्रधानमन्त्रीको फोटो बिगारेर पोष्ट गर्ने पक्राउ,1
वेईज्जत नगरेको भए हुने हो,1
फोटो झाक़ासको छ,1
नराम्रो काम गर्न अगाडी नसरौ,1
balla yeuta gatilo kam garexaa,1
badhai x,1
Wah Daju Ramro kaam,1
इनि दाजु चाइ साचै निश्च्ल मनका रहिछ्न,1
dheari badhai tatha suvakamna xa hai,1
Kun swarga ki apsara hau timi,1
Ho ta hai,1
सुसासनयुक्त अनि मर्यादित बनाउनु,1
गरिमामय र निस्पक्ष,1
स्पष्ट निती निर्माण गर्नु पर्दछ,1
"योग्यता, क्षमता, इमानदार, सक्षम, निडर, बरिष्ट",1
सेनालाई जिम्मेवारी तथा साथ दिनु एकदमै सराहनीय कुरा हो,1
राम्रो कुरा हो सेनालाई यो मात्र होइन राष्ट्रका हरेक अायोजनाका काम दिदा उत्तम हुन्छ,1
समाज सेवी हातहरुलाई लाखौ लाख सलाम छ,1
घाईते सम्पुर्णमा शिघ्र स्वास्थ लाभ को कामना,1
सार्है दुख लाग्यो मृतकहरु को आत्माले चिर शान्ति पावोस् साथै घाइते भएकाहरुका लागि स्वास्थ्य लाभ कामना तथा सोकाकुल परिवार प्रति समवेदना प्रकट गर्दछौं,1
हार्दिक श्रद्धाञ्जली,1
मान्छे सानो सानो कुरामा खुशी हुन हाँस्न जान्नु पर्छ रे,1
नराम्रो कमेन्ट गर्न हुन्न पाप लाग्छ,1
फोटो हाल्दा अलि इडिट गरेर हाल,1
आफ्ना प्रोडक्टहरु धेरैभन्दा धेरै बिक्रि होस् भन्ने चाहन्छन् जुन आफैमा नराम्रो कुरा हैन,1
हेरेको थिए तर बिस्वस नलागेर तपाईंको पोस्ट हेरेको हो रहेछ,1
देशका सबै युवा उठौ लागौ देश को मन सफाइमा,1
Nepal bandai xa,1
Happy birthday legend,1
स्केच त राम्रै हो कपालमा कसले इरेजर लगाइदिएछ पछि,1
जन्मदिनको सुभकामना आलु अर्जुन,1
timi sarai ramro,1
pOkHarA uNiVeRSitY iS LoVE,1
देशका सबै युवा उठौ लागौ देश को मन सफाइमा,1
खसी बिना दसै कसरी आउछ्,1
मेकअप त भ्रम मात्रै हो,1
असली मायामा कचेरा पुछ्दै भिडियोकल गरिन्छ,1
नेपाललाई लिएर जज लाई गाली गर्नु मुर्खता हो,1
"आफ्ना प्रोडक्टहरु धेरैभन्दा धेरै बिक्रि होस् भन्ने चाहन्छन्, जुन आफैमा नराम्रो कुरा हैन",1
राम्रो-नराम्रो भन्दा पनि हुने तथ्य यहि नै हो,1
नेपाललाई लिएर जज लाई गाली गर्नु मुर्खता हो,1
आफुले आफै लाई राम्रो भन्नी ठान्नु पनि राम्रै हो,1
गर्न पनि मूलाहरू हरू ले हदै वेईज्जत गर्छन्,2
अनि के गर्दै छस त नी आजभोलि,2
केपी वली लाई गणतन्त्र कहिल्यै मन परेको थिएन,2
उसलाई जनताले ज्ञानेन्द्र चोर हो भनेर श्रीपेच खोसिदिएको पनि मन परेको थिएन,2
यो खबर सुने पछी म अचम्म  मा परेको छु ,2
म भर्खर निस्केर आको,2
ती दुई जना केटाकेटी भए उनीहरुको पनि बिबाह गरिदिनु पर्यो सरकार,2
उनी पनि मेरो लागि भगवान जस्तै थिन,2
यो कति नम्बर हो गनेर भनिदिनु त,2
शिबपार्बती जस्तै,2
नभरी पिडा भए पछि  घिरौला काट्दा नि आँसु  आउने रैछ बरै,2
प्रमाण के छ,2
अब हामी विद्यार्थी लाई कस्ले हेर्छ बन्द हुदैन clz लाग्छ,2
जति गरेपनि तेस्तै हो,2
जसले राम्रो गर्न सक्छ तेस्लाई सम्मान,2
सहयोग गर्नु मात्र त होनी पैसा कस्को खल्तीमा पुग्छ थाहा छैन,2
पैसाले मात्र सहयोग हुने होर,2
हाम्रो त मेहेनत को पैसा हो सहयोग को लागि दिउ भनेनि आफ्नो जोहो टार्न गारो हुन्छ,2
बिचरा येस्तो गर्दिनी हो त अनि,2
गर्न पनि मूलाहरू हरू ले हदै वेईज्जत गर्छन्,2
यस्तै फोटो बनाउनेलाई त होनी समात्ने भनेको रेप गर्ने हरूलाई त समात्न सक्नु पर्योनी,2
यो काम कानुन बिपरित हो भन्ने थाहा हुदाहुदै गल्ति गर्नु हाम्रो दुर्भाग्य हो,2
छिटो कमेन्ट गरेर लाइक कमाउ भन्या कै लेख्नै आएन कपि गरेर नि क्यै राख्या रैन्छ थुक्क कर्म,2
यो कालो बादल Nepal भरी घुम्दै रैछ बिहान देखि,2
आज हावाहुरी पानी चट्याङ आउनु मौसममा परिवर्तन आउनुको कारण यहि हो,2
गुरु ब्रह्मा गुरु विण्णु गरुरदेवो महेश्वर गुरु साक्षात परमब्रह्मा तस्मै श्रि गुरुभ्यो नम,2
जानेको संस्कृत यहि हो त्यहि पनि बजाईदिए,2
5 बजे तिरै बनाको हो कि रुटिने ले ढिला wish गर्यो,2
समचार पड्दा विस्वास लागेको थियन यो  पोस्ट पढे पछि बिस्वास लाग्यो,2
यो देखि धर्म कर्म मा लाग्न थालेछ,2
लौ न भगवान करोड पति बनाइदेउ मेरो साथी लाई,2
लौ भगवान परिक्षा पास गराइदेउ,2
म पनि अब गएर गाउको फोहोर भेला पारेर फोटो खिचेर पोस्ट गर्नु पर्यो,2
सोझी केटि मोह,2
हेर हेर नेपाल मै बसेर काम गरेको भए यस्तो दिन त देख्नु पर्दैन थियो,2
नेपालिको बिश्वमा कति छन भन्ने कुराको यथार्थ प्रमाण हो यो बिदेसमा सवारि दुर्घटना हुदापनि नेपालि नै मर्छ,2
मैले पनि मेस्सिको टाटु हान्छु भनेर गएको  भाइ हड्डीमा मिल्दैन भनेर फर्काइदियो ,2
छाती मा हान्न हुदैन थियो,2
कति लिटर दिन्छ दिनको,2
गौरी गाई काहाँबाट आएछ,2
भैँसि र गाई‌,2
बोली सुन्दा मनै झस्कियो,2
खाना खाएर आउनु भो की गएर खाने हो,2
कालि भैसि लाइ गौरि गाइ रे,2
